Club,Season,Expenditure,Arrivals,Income,Departures,Balance,League
Carpi FC 1909,15/16,300000,47,275000,51,-25000,SerieA
Juventus FC,16/17,170230000,120,176930000,84,6700000,SerieA
Inter Milan,16/17,164710000,97,18500000,57,-146210000,SerieA
AS Roma,16/17,102750000,89,43430000,67,-59320000,SerieA
SSC Napoli,16/17,99090000,59,116810000,40,17720000,SerieA
UC Sampdoria,16/17,39650000,76,80700000,56,41050000,SerieA
SS Lazio,16/17,32850000,44,28700000,36,-4150000,SerieA
Bologna FC 1909,16/17,31300000,51,16980000,46,-14320000,SerieA
AC Milan,16/17,29560000,51,25150000,33,-4410000,SerieA
Torino FC,16/17,28800000,70,26430000,52,-2370000,SerieA
US Sassuolo,16/17,27610000,37,27800000,24,190000,SerieA
Genoa CFC,16/17,27200000,81,50300000,60,23100000,SerieA
Udinese Calcio,16/17,26500000,77,32230000,65,5730000,SerieA
Atalanta BC,16/17,15940000,111,41330000,74,25390000,SerieA
ACF Fiorentina,16/17,15730000,62,31050000,50,15320000,SerieA
Delfino Pescara 1936,16/17,14290000,95,22270000,73,7980000,SerieA
Chievo Verona,16/17,12570000,89,6280000,59,-6290000,SerieA
Cagliari Calcio,16/17,9720000,58,11620000,41,1900000,SerieA
US Palermo,16/17,8480000,53,29250000,40,20770000,SerieA
Empoli FC,16/17,7000000,48,15000000,38,8000000,SerieA
FC Crotone,16/17,5950000,51,7750000,45,1800000,SerieA
AC Milan,17/18,186480000,44,36300000,36,-150180000,SerieA
Juventus FC,17/18,181100000,98,145650000,72,-35450000,SerieA
Inter Milan,17/18,137630000,89,79240000,70,-58390000,SerieA
AS Roma,17/18,91300000,82,155000000,62,63700000,SerieA
ACF Fiorentina,17/18,79500000,61,93580000,50,14080000,SerieA
SSC Napoli,17/18,68500000,48,17450000,33,-51050000,SerieA
Atalanta BC,17/18,63190000,128,81540000,86,18350000,SerieA
UC Sampdoria,17/18,51000000,63,71460000,46,20460000,SerieA
US Sassuolo,17/18,35600000,55,19250000,35,-16350000,SerieA
Cagliari Calcio,17/18,31090000,47,19880000,35,-11210000,SerieA
SS Lazio,17/18,28250000,44,73920000,25,45670000,SerieA
Torino FC,17/18,26380000,66,79800000,42,53420000,SerieA
Benevento Calcio,17/18,23080000,45,3980000,49,-19100000,SerieA
Udinese Calcio,17/18,22590000,55,17700000,38,-4890000,SerieA
Genoa CFC,17/18,14270000,86,46720000,58,32450000,SerieA
Bologna FC 1909,17/18,13000000,54,0,37,-13000000,SerieA
SPAL,17/18,8740000,46,1070000,40,-7670000,SerieA
Hellas Verona,17/18,3050000,54,8050000,43,5000000,SerieA
FC Crotone,17/18,3000000,47,0,46,-3000000,SerieA
Chievo Verona,17/18,2950000,87,17670000,64,14720000,SerieA
Juventus FC,18/19,263200000,54,112540000,36,-150660000,SerieA
AC Milan,18/19,194640000,36,88100000,30,-106540000,SerieA
AS Roma,18/19,166350000,66,150460000,47,-15890000,SerieA
Inter Milan,18/19,97600000,77,91170000,58,-6430000,SerieA
SSC Napoli,18/19,71000000,53,100800000,38,29800000,SerieA
Atalanta BC,18/19,60800000,128,25060000,81,-35740000,SerieA
ACF Fiorentina,18/19,60790000,64,43390000,49,-17400000,SerieA
Genoa CFC,18/19,58970000,103,84360000,81,25390000,SerieA
UC Sampdoria,18/19,56450000,67,90120000,51,33670000,SerieA
Torino FC,18/19,54150000,77,17200000,52,-36950000,SerieA
US Sassuolo,18/19,53970000,70,50380000,44,-3590000,SerieA
Udinese Calcio,18/19,52900000,65,13530000,50,-39370000,SerieA
SS Lazio,18/19,51280000,44,38600000,33,-12680000,SerieA
Bologna FC 1909,18/19,31220000,54,44990000,45,13770000,SerieA
Cagliari Calcio,18/19,22500000,46,7850000,37,-14650000,SerieA
SPAL,18/19,21900000,54,2850000,51,-19050000,SerieA
Parma FC,18/19,20400000,78,596000,55,-19804000,SerieA
Empoli FC,18/19,17300000,68,22900000,51,5600000,SerieA
Frosinone Calcio,18/19,9560000,32,800000,34,-8760000,SerieA
Chievo Verona,18/19,9470000,80,17620000,57,8150000,SerieA
Juventus FC,19/20,231410000,29,203140000,24,-28270000,SerieA
SSC Napoli,19/20,204720000,72,47580000,43,-157140000,SerieA
Inter Milan,19/20,191720000,72,66740000,52,-124980000,SerieA
AC Milan,19/20,124080000,35,59230000,31,-64850000,SerieA
AS Roma,19/20,117400000,54,106380000,46,-11020000,SerieA
Bologna FC 1909,19/20,67040000,57,28680000,43,-38360000,SerieA
US Sassuolo,19/20,66340000,75,51950000,58,-14390000,SerieA
UC Sampdoria,19/20,65250000,62,74590000,51,9340000,SerieA
Atalanta BC,19/20,60360000,123,105100000,79,44740000,SerieA
ACF Fiorentina,19/20,56540000,76,15320000,53,-41220000,SerieA
Genoa CFC,19/20,50370000,100,66350000,86,15980000,SerieA
SS Lazio,19/20,49950000,52,35350000,36,-14600000,SerieA
Cagliari Calcio,19/20,40100000,50,19770000,40,-20330000,SerieA
Torino FC,19/20,28800000,65,24400000,41,-4400000,SerieA
SPAL,19/20,26150000,48,39450000,46,13300000,SerieA
Parma FC,19/20,23310000,95,18160000,83,-5150000,SerieA
Hellas Verona,19/20,21190000,83,43970000,66,22780000,SerieA
Brescia Calcio,19/20,18650000,20,100000,21,-18550000,SerieA
Udinese Calcio,19/20,12600000,53,60270000,42,47670000,SerieA
US Lecce,19/20,6200000,49,450000,45,-5750000,SerieA
Juventus FC,20/21,158010000,26,110560000,21,-47450000,SerieA
Inter Milan,20/21,126500000,59,82550000,41,-43950000,SerieA
Parma FC,20/21,104330000,80,4300000,58,-100030000,SerieA
SSC Napoli,20/21,77250000,55,122060000,40,44810000,SerieA
AS Roma,20/21,72100000,51,48000000,35,-24100000,SerieA
Genoa CFC,20/21,64680000,91,67290000,71,2610000,SerieA
Atalanta BC,20/21,62040000,106,75400000,61,13360000,SerieA
ACF Fiorentina,20/21,57500000,74,59890000,47,2390000,SerieA
Torino FC,20/21,46700000,51,27000000,33,-19700000,SerieA
SS Lazio,20/21,41700000,49,7850000,30,-33850000,SerieA
Cagliari Calcio,20/21,34180000,44,44860000,40,10680000,SerieA
AC Milan,20/21,31920000,40,51390000,31,19470000,SerieA
US Sassuolo,20/21,28500000,68,62360000,43,33860000,SerieA
Udinese Calcio,20/21,21500000,44,31550000,31,10050000,SerieA
Hellas Verona,20/21,18950000,69,5400000,64,-13550000,SerieA
UC Sampdoria,20/21,17750000,56,12100000,42,-5650000,SerieA
Benevento Calcio,20/21,11600000,35,1000000,27,-10600000,SerieA
FC Crotone,20/21,5490000,45,0,41,-5490000,SerieA
Spezia Calcio,20/21,5140000,43,1960000,42,-3180000,SerieA
Bologna FC 1909,20/21,3150000,48,5000000,33,1850000,SerieA
Juventus FC,21/22,129500000,30,63780000,19,-65720000,SerieA
AS Roma,21/22,126550000,55,16190000,42,-110360000,SerieA
AC Milan,21/22,93010000,45,5520000,29,-87490000,SerieA
Atalanta BC,21/22,66000000,124,48840000,71,-17160000,SerieA
ACF Fiorentina,21/22,64400000,62,112200000,46,47800000,SerieA
Inter Milan,21/22,42550000,60,205050000,37,162500000,SerieA
Hellas Verona,21/22,40800000,50,37700000,49,-3100000,SerieA
Genoa CFC,21/22,39100000,109,18620000,74,-20480000,SerieA
US Sassuolo,21/22,37650000,77,22700000,50,-14950000,SerieA
Bologna FC 1909,21/22,32310000,45,25000000,37,-7310000,SerieA
Spezia Calcio,21/22,27790000,47,5200000,49,-22590000,SerieA
SSC Napoli,21/22,22200000,42,3200000,29,-19000000,SerieA
Venezia FC,21/22,22090000,48,200000,42,-21890000,SerieA
Cagliari Calcio,21/22,15100000,45,7400000,34,-7700000,SerieA
UC Sampdoria,21/22,14510000,60,9300000,46,-5210000,SerieA
US Salernitana 1919,21/22,14350000,72,0,65,-14350000,SerieA
SS Lazio,21/22,13800000,54,8900000,37,-4900000,SerieA
Torino FC,21/22,13300000,45,16500000,39,3200000,SerieA
FC Empoli,21/22,10500000,63,28000000,48,17500000,SerieA
Udinese Calcio,21/22,9700000,36,79630000,34,69930000,SerieA
Juventus FC,22/23,106050000,37,110580000,28,4530000,SerieA
Atalanta BC,22/23,99900000,127,105750000,77,5850000,SerieA
SSC Napoli,22/23,76050000,50,80950000,36,4900000,SerieA
US Sassuolo,22/23,53100000,77,75150000,55,22050000,SerieA
Udinese Calcio,22/23,52500000,38,61800000,29,9300000,SerieA
AC Milan,22/23,48670000,38,13050000,31,-35620000,SerieA
US Salernitana 1919,22/23,45330000,56,21500000,62,-23830000,SerieA
AC Monza,22/23,41100000,45,0,45,-41100000,SerieA
Hellas Verona,22/23,39900000,66,34560000,49,-5340000,SerieA
SS Lazio,22/23,39700000,50,36130000,39,-3570000,SerieA
Inter Milan,22/23,38900000,77,7900000,49,-31000000,SerieA
Bologna FC 1909,22/23,37220000,46,45700000,34,8480000,SerieA
ACF Fiorentina,22/23,37150000,56,48250000,37,11100000,SerieA
US Cremonese,22/23,32300000,60,500000,48,-31800000,SerieA
Torino FC,22/23,29330000,46,50600000,41,21270000,SerieA
Spezia Calcio,22/23,18100000,46,37450000,40,19350000,SerieA
FC Empoli,22/23,15200000,75,31920000,64,16720000,SerieA
AS Roma,22/23,9000000,39,67100000,33,58100000,SerieA
US Lecce,22/23,6780000,42,3550000,38,-3230000,SerieA
UC Sampdoria,22/23,6000000,82,34600000,60,28600000,SerieA
Stade Rennais FC,02/03,17830000,23,3500000,19,-14330000,Ligue1
Paris Saint-Germain,02/03,12750000,28,32250000,22,19500000,Ligue1
FC Girondins Bordeaux,02/03,9000000,16,6300000,18,-2700000,Ligue1
Olympique Marseille,02/03,8000000,26,11030000,22,3030000,Ligue1
AS Monaco,02/03,6100000,15,10110000,11,4010000,Ligue1
RC Lens,02/03,5500000,22,18750000,18,13250000,Ligue1
FC Nantes,02/03,5500000,13,2000000,12,-3500000,Ligue1
Olympique Lyon,02/03,3900000,8,700000,7,-3200000,Ligue1
LOSC Lille,02/03,3800000,15,15030000,13,11230000,Ligue1
AJ Auxerre,02/03,1000000,11,0,10,-1000000,Ligue1
OGC Nice,02/03,0,12,4100000,13,4100000,Ligue1
SC Bastia,02/03,0,20,1500000,24,1500000,Ligue1
RC Strasbourg Alsace,02/03,0,19,0,19,0,Ligue1
AC Le Havre,02/03,0,11,0,13,0,Ligue1
FC Sochaux-Montb?liard,02/03,0,13,0,9,0,Ligue1
EA Guingamp,02/03,0,15,0,12,0,Ligue1
Montpellier HSC,02/03,0,8,1400000,10,1400000,Ligue1
CS Sedan-Ardennes,02/03,0,17,7500000,17,7500000,Ligue1
ESTAC Troyes,02/03,0,15,6000000,16,6000000,Ligue1
AC Ajaccio,02/03,0,23,0,17,0,Ligue1
Paris Saint-Germain,03/04,34900000,30,34950000,28,50000,Ligue1
Olympique Lyon,03/04,25500000,11,4150000,10,-21350000,Ligue1
Olympique Marseille,03/04,18850000,31,11500000,27,-7350000,Ligue1
FC Girondins Bordeaux,03/04,11000000,22,16500000,15,5500000,Ligue1
Stade Rennais FC,03/04,5250000,20,6330000,25,1080000,Ligue1
AJ Auxerre,03/04,4400000,10,3530000,10,-870000,Ligue1
AS Monaco,03/04,3200000,19,5250000,20,2050000,Ligue1
EA Guingamp,03/04,1800000,15,10300000,17,8500000,Ligue1
RC Strasbourg Alsace,03/04,1650000,15,4700000,20,3050000,Ligue1
LOSC Lille,03/04,1100000,22,0,14,-1100000,Ligue1
FC Sochaux-Montb?liard,03/04,500000,10,75000,10,-425000,Ligue1
OGC Nice,03/04,480000,13,0,16,-480000,Ligue1
Le Mans Union Club 72,03/04,400000,17,0,8,-400000,Ligue1
SC Bastia,03/04,350000,15,13350000,18,13000000,Ligue1
FC Nantes,03/04,300000,14,4800000,9,4500000,Ligue1
FC Metz,03/04,0,17,3200000,16,3200000,Ligue1
FC Toulouse,03/04,0,12,0,9,0,Ligue1
RC Lens,03/04,0,13,1100000,10,1100000,Ligue1
Montpellier HSC,03/04,0,9,1500000,6,1500000,Ligue1
AC Ajaccio,03/04,0,17,0,17,0,Ligue1
Olympique Marseille,04/05,30280000,33,52380000,31,22100000,Ligue1
Paris Saint-Germain,04/05,27500000,23,17000000,22,-10500000,Ligue1
Olympique Lyon,04/05,26250000,21,22500000,16,-3750000,Ligue1
AS Monaco,04/05,18000000,23,18500000,24,500000,Ligue1
FC Nantes,04/05,8200000,21,21300000,15,13100000,Ligue1
RC Lens,04/05,5500000,22,13000000,21,7500000,Ligue1
FC Sochaux-Montb?liard,04/05,5400000,13,14000000,11,8600000,Ligue1
Stade Rennais FC,04/05,4200000,19,13000000,16,8800000,Ligue1
OGC Nice,04/05,3550000,26,5000000,23,1450000,Ligue1
AJ Auxerre,04/05,3000000,14,27000000,12,24000000,Ligue1
FC Toulouse,04/05,2500000,17,0,15,-2500000,Ligue1
FC Girondins Bordeaux,04/05,1560000,17,8000000,22,6440000,Ligue1
SM Caen,04/05,1530000,9,0,7,-1530000,Ligue1
RC Strasbourg Alsace,04/05,1500000,17,1850000,17,350000,Ligue1
AS Saint-?tienne,04/05,1200000,19,0,24,-1200000,Ligue1
LOSC Lille,04/05,958000,19,10700000,22,9742000,Ligue1
FC Metz,04/05,250000,30,5100000,24,4850000,Ligue1
AC Ajaccio,04/05,195000,17,0,24,-195000,Ligue1
FC Istres Ouest Provence,04/05,80000,24,0,21,-80000,Ligue1
SC Bastia,04/05,0,17,0,17,0,Ligue1
Olympique Lyon,05/06,49600000,21,43400000,15,-6200000,Ligue1
Paris Saint-Germain,05/06,18200000,18,12430000,14,-5770000,Ligue1
Olympique Marseille,05/06,15330000,40,13850000,33,-1480000,Ligue1
Stade Rennais FC,05/06,12800000,16,3700000,12,-9100000,Ligue1
FC Toulouse,05/06,11400000,9,0,12,-11400000,Ligue1
AS Saint-?tienne,05/06,9400000,18,0,15,-9400000,Ligue1
FC Sochaux-Montb?liard,05/06,7500000,22,13700000,19,6200000,Ligue1
RC Lens,05/06,7000000,18,6500000,20,-500000,Ligue1
AS Monaco,05/06,6100000,27,21500000,23,15400000,Ligue1
Le Mans Union Club 72,05/06,6050000,21,3000000,20,-3050000,Ligue1
FC Girondins Bordeaux,05/06,5480000,19,12500000,19,7020000,Ligue1
RC Strasbourg Alsace,05/06,5400000,21,8000000,18,2600000,Ligue1
FC Nantes,05/06,5400000,24,250000,19,-5150000,Ligue1
AJ Auxerre,05/06,5000000,12,17500000,13,12500000,Ligue1
OGC Nice,05/06,4750000,22,250000,19,-4500000,Ligue1
LOSC Lille,05/06,4400000,11,0,9,-4400000,Ligue1
AS Nancy-Lorraine,05/06,3000000,15,0,13,-3000000,Ligue1
FC Metz,05/06,1700000,30,1000000,31,-700000,Ligue1
AC Ajaccio,05/06,500000,19,0,16,-500000,Ligue1
ESTAC Troyes,05/06,250000,18,600000,22,350000,Ligue1
Olympique Lyon,06/07,29950000,17,47330000,12,17380000,Ligue1
AS Monaco,06/07,22600000,29,24550000,23,1950000,Ligue1
Paris Saint-Germain,06/07,16700000,19,4500000,18,-12200000,Ligue1
RC Lens,06/07,16300000,20,18750000,17,2450000,Ligue1
AJ Auxerre,06/07,14500000,14,4500000,17,-10000000,Ligue1
OGC Nice,06/07,13150000,16,5350000,19,-7800000,Ligue1
FC Girondins Bordeaux,06/07,12000000,20,100000,14,-11900000,Ligue1
Stade Rennais FC,06/07,12000000,20,24810000,17,12810000,Ligue1
Olympique Marseille,06/07,11430000,31,9880000,30,-1550000,Ligue1
AS Saint-?tienne,06/07,10710000,21,13350000,21,2640000,Ligue1
AS Nancy-Lorraine,06/07,7800000,13,2800000,6,-5000000,Ligue1
FC Toulouse,06/07,6900000,12,4800000,11,-2100000,Ligue1
FC Nantes,06/07,6800000,26,8000000,27,1200000,Ligue1
LOSC Lille,06/07,6250000,15,4100000,12,-2150000,Ligue1
Le Mans Union Club 72,06/07,5500000,12,7000000,15,1500000,Ligue1
FC Sochaux-Montb?liard,06/07,5300000,21,17100000,24,11800000,Ligue1
ESTAC Troyes,06/07,3900000,17,1600000,20,-2300000,Ligue1
Valenciennes FC,06/07,3700000,10,0,13,-3700000,Ligue1
FC Lorient,06/07,1350000,21,2000000,26,650000,Ligue1
CS Sedan-Ardennes,06/07,150000,16,0,16,-150000,Ligue1
Olympique Lyon,07/08,56900000,18,63500000,18,6600000,Ligue1
Olympique Marseille,07/08,30000000,37,38900000,28,8900000,Ligue1
RC Lens,07/08,23700000,25,19050000,20,-4650000,Ligue1
FC Girondins Bordeaux,07/08,20800000,20,19000000,17,-1800000,Ligue1
Paris Saint-Germain,07/08,20500000,26,14300000,20,-6200000,Ligue1
AS Monaco,07/08,20400000,26,21800000,23,1400000,Ligue1
AS Saint-?tienne,07/08,20300000,23,18850000,19,-1450000,Ligue1
AJ Auxerre,07/08,13900000,17,36700000,18,22800000,Ligue1
Stade Rennais FC,07/08,11550000,20,24200000,19,12650000,Ligue1
FC Toulouse,07/08,8200000,22,2400000,15,-5800000,Ligue1
Le Mans Union Club 72,07/08,7500000,16,14250000,13,6750000,Ligue1
FC Sochaux-Montb?liard,07/08,7000000,21,11300000,22,4300000,Ligue1
LOSC Lille,07/08,6800000,23,40350000,17,33550000,Ligue1
Valenciennes FC,07/08,4500000,9,1100000,11,-3400000,Ligue1
SM Caen,07/08,3100000,14,400000,7,-2700000,Ligue1
FC Lorient,07/08,2850000,17,4500000,20,1650000,Ligue1
OGC Nice,07/08,2200000,21,9800000,17,7600000,Ligue1
RC Strasbourg Alsace,07/08,1350000,31,1350000,24,0,Ligue1
FC Metz,07/08,600000,23,7500000,20,6900000,Ligue1
AS Nancy-Lorraine,07/08,0,10,4650000,10,4650000,Ligue1
Olympique Lyon,08/09,50300000,18,34000000,15,-16300000,Ligue1
Olympique Marseille,08/09,36120000,34,23650000,28,-12470000,Ligue1
OGC Nice,08/09,20250000,17,35900000,14,15650000,Ligue1
LOSC Lille,08/09,18500000,19,20300000,18,1800000,Ligue1
Le Mans Union Club 72,08/09,14300000,15,22600000,17,8300000,Ligue1
Stade Rennais FC,08/09,14000000,24,11950000,15,-2050000,Ligue1
Paris Saint-Germain,08/09,10500000,22,21750000,17,11250000,Ligue1
AS Nancy-Lorraine,08/09,10500000,18,15400000,16,4900000,Ligue1
FC Toulouse,08/09,9800000,21,22700000,20,12900000,Ligue1
AS Saint-?tienne,08/09,9500000,22,11000000,14,1500000,Ligue1
FC Nantes,08/09,8600000,24,6600000,21,-2000000,Ligue1
AJ Auxerre,08/09,8400000,17,3400000,12,-5000000,Ligue1
FC Girondins Bordeaux,08/09,7900000,17,2500000,16,-5400000,Ligue1
Valenciennes FC,08/09,7800000,14,10200000,14,2400000,Ligue1
SM Caen,08/09,7640000,16,7820000,12,180000,Ligue1
FC Sochaux-Montb?liard,08/09,6550000,26,5800000,19,-750000,Ligue1
AS Monaco,08/09,5200000,34,22650000,21,17450000,Ligue1
FC Lorient,08/09,3000000,19,0,18,-3000000,Ligue1
Grenoble Foot 38,08/09,1480000,17,350000,13,-1130000,Ligue1
AC Le Havre,08/09,400000,24,3000000,22,2600000,Ligue1
Olympique Lyon,09/10,82700000,17,53000000,11,-29700000,Ligue1
Olympique Marseille,09/10,42300000,32,27800000,23,-14500000,Ligue1
FC Girondins Bordeaux,09/10,28500000,23,11000000,13,-17500000,Ligue1
AS Saint-?tienne,09/10,19500000,15,14400000,15,-5100000,Ligue1
Paris Saint-Germain,09/10,15500000,18,6300000,17,-9200000,Ligue1
Stade Rennais FC,09/10,14600000,25,13800000,21,-800000,Ligue1
AS Monaco,09/10,9900000,24,6080000,22,-3820000,Ligue1
LOSC Lille,09/10,8600000,18,18750000,18,10150000,Ligue1
FC Sochaux-Montb?liard,09/10,7500000,21,10200000,18,2700000,Ligue1
FC Lorient,09/10,7000000,19,9500000,19,2500000,Ligue1
FC Toulouse,09/10,6000000,14,11950000,12,5950000,Ligue1
AS Nancy-Lorraine,09/10,5700000,22,5600000,15,-100000,Ligue1
Valenciennes FC,09/10,5450000,15,500000,11,-4950000,Ligue1
RC Lens,09/10,4950000,20,3000000,14,-1950000,Ligue1
Grenoble Foot 38,09/10,3600000,13,0,17,-3600000,Ligue1
OGC Nice,09/10,3500000,14,1450000,11,-2050000,Ligue1
Le Mans Union Club 72,09/10,2630000,23,10500000,14,7870000,Ligue1
US Boulogne,09/10,2040000,20,2150000,16,110000,Ligue1
AJ Auxerre,09/10,1500000,19,4700000,15,3200000,Ligue1
Montpellier HSC,09/10,0,11,0,9,0,Ligue1
Olympique Marseille,10/11,41500000,20,22600000,17,-18900000,Ligue1
Olympique Lyon,10/11,28440000,10,10820000,12,-17620000,Ligue1
Stade Rennais FC,10/11,22200000,23,34130000,17,11930000,Ligue1
FC Girondins Bordeaux,10/11,10500000,24,22000000,16,11500000,Ligue1
AS Monaco,10/11,9750000,37,14100000,31,4350000,Ligue1
Paris Saint-Germain,10/11,9000000,14,7000000,11,-2000000,Ligue1
FC Lorient,10/11,6000000,20,12800000,16,6800000,Ligue1
Montpellier HSC,10/11,4300000,16,14000000,13,9700000,Ligue1
SM Caen,10/11,4200000,11,0,10,-4200000,Ligue1
AS Saint-?tienne,10/11,3930000,19,5250000,16,1320000,Ligue1
Stade Brestois 29,10/11,3800000,14,0,15,-3800000,Ligue1
AJ Auxerre,10/11,3500000,13,2430000,11,-1070000,Ligue1
FC Sochaux-Montb?liard,10/11,3300000,14,2500000,10,-800000,Ligue1
Valenciennes FC,10/11,1800000,11,8500000,12,6700000,Ligue1
OGC Nice,10/11,1700000,16,23000000,17,21300000,Ligue1
FC Toulouse,10/11,0,11,16650000,15,16650000,Ligue1
RC Lens,10/11,0,16,8320000,11,8320000,Ligue1
LOSC Lille,10/11,0,12,2300000,9,2300000,Ligue1
AS Nancy-Lorraine,10/11,0,17,8050000,17,8050000,Ligue1
Athl?tic Club Arl?sien,10/11,0,27,500000,34,500000,Ligue1
Paris Saint-Germain,11/12,107100000,22,9400000,14,-97700000,Ligue1
LOSC Lille,11/12,23400000,23,36900000,20,13500000,Ligue1
Stade Rennais FC,11/12,16800000,13,5500000,13,-11300000,Ligue1
AS Saint-?tienne,11/12,16100000,28,28860000,23,12760000,Ligue1
FC Toulouse,11/12,13340000,11,4800000,12,-8540000,Ligue1
FC Lorient,11/12,11100000,24,16000000,23,4900000,Ligue1
Olympique Marseille,11/12,11000000,18,0,17,-11000000,Ligue1
OGC Nice,11/12,8350000,20,600000,19,-7750000,Ligue1
Dijon FCO,11/12,5850000,26,0,19,-5850000,Ligue1
AS Nancy-Lorraine,11/12,5350000,23,9600000,25,4250000,Ligue1
FC Sochaux-Montb?liard,11/12,5250000,14,11500000,14,6250000,Ligue1
Olympique Lyon,11/12,4600000,16,22000000,10,17400000,Ligue1
Valenciennes FC,11/12,4100000,9,4200000,9,100000,Ligue1
FC Girondins Bordeaux,11/12,4000000,19,12500000,15,8500000,Ligue1
AJ Auxerre,11/12,3750000,26,3500000,16,-250000,Ligue1
Stade Brestois 29,11/12,2500000,16,8000000,12,5500000,Ligue1
Montpellier HSC,11/12,2000000,14,2000000,12,0,Ligue1
FC ?vian Thonon Gaillard,11/12,1850000,17,0,15,-1850000,Ligue1
SM Caen,11/12,300000,14,9000000,13,8700000,Ligue1
AC Ajaccio,11/12,200000,14,0,9,-200000,Ligue1
Paris Saint-Germain,12/13,151000000,19,4750000,15,-146250000,Ligue1
LOSC Lille,12/13,22500000,21,41200000,17,18700000,Ligue1
Montpellier HSC,12/13,12500000,13,20000000,6,7500000,Ligue1
FC Lorient,12/13,10000000,17,5000000,15,-5000000,Ligue1
Olympique Lyon,12/13,8750000,18,30100000,20,21350000,Ligue1
Olympique Marseille,12/13,8700000,18,29800000,16,21100000,Ligue1
Stade Rennais FC,12/13,8700000,20,27500000,17,18800000,Ligue1
FC Sochaux-Montb?liard,12/13,7750000,15,16860000,11,9110000,Ligue1
OGC Nice,12/13,6000000,21,8700000,17,2700000,Ligue1
AS Nancy-Lorraine,12/13,4700000,29,6500000,24,1800000,Ligue1
AS Saint-?tienne,12/13,4500000,22,4600000,19,100000,Ligue1
Stade Reims,12/13,3350000,13,0,19,-3350000,Ligue1
Valenciennes FC,12/13,3100000,11,4000000,10,900000,Ligue1
FC Girondins Bordeaux,12/13,2800000,12,5500000,8,2700000,Ligue1
Stade Brestois 29,12/13,2450000,14,1500000,17,-950000,Ligue1
FC ?vian Thonon Gaillard,12/13,1600000,9,0,13,-1600000,Ligue1
FC Toulouse,12/13,1000000,13,14100000,14,13100000,Ligue1
ESTAC Troyes,12/13,500000,20,4450000,18,3950000,Ligue1
SC Bastia,12/13,0,18,7500000,16,7500000,Ligue1
AC Ajaccio,12/13,0,14,1000000,13,1000000,Ligue1
AS Monaco,13/14,160700000,40,5550000,32,-155150000,Ligue1
Paris Saint-Germain,13/14,135900000,22,26500000,17,-109400000,Ligue1
Olympique Marseille,13/14,39400000,21,1050000,15,-38350000,Ligue1
AS Saint-?tienne,13/14,16600000,22,42950000,21,26350000,Ligue1
Stade Rennais FC,13/14,15050000,27,16600000,25,1550000,Ligue1
FC Toulouse,13/14,13550000,16,20700000,12,7150000,Ligue1
Olympique Lyon,13/14,4000000,16,24500000,9,20500000,Ligue1
FC Girondins Bordeaux,13/14,3500000,14,11000000,11,7500000,Ligue1
FC Nantes,13/14,3350000,12,500000,12,-2850000,Ligue1
FC Sochaux-Montb?liard,13/14,3150000,20,2500000,19,-650000,Ligue1
Stade Reims,13/14,3130000,15,0,9,-3130000,Ligue1
FC Lorient,13/14,3000000,19,12090000,16,9090000,Ligue1
LOSC Lille,13/14,2950000,19,42000000,13,39050000,Ligue1
FC ?vian Thonon Gaillard,13/14,2600000,18,8500000,22,5900000,Ligue1
Montpellier HSC,13/14,2500000,13,14500000,16,12000000,Ligue1
SC Bastia,13/14,1800000,19,2200000,25,400000,Ligue1
EA Guingamp,13/14,1200000,11,7500000,12,6300000,Ligue1
Valenciennes FC,13/14,1200000,13,6000000,16,4800000,Ligue1
OGC Nice,13/14,0,14,0,10,0,Ligue1
AC Ajaccio,13/14,0,19,0,25,0,Ligue1
Paris Saint-Germain,14/15,49500000,11,2200000,9,-47300000,Ligue1
AS Monaco,14/15,39750000,35,89120000,32,49370000,Ligue1
Olympique Marseille,14/15,20500000,20,17500000,17,-3000000,Ligue1
Stade Rennais FC,14/15,15140000,30,20500000,21,5360000,Ligue1
FC Lorient,14/15,8450000,21,19200000,22,10750000,Ligue1
LOSC Lille,14/15,7800000,16,19730000,13,11930000,Ligue1
FC Girondins Bordeaux,14/15,7700000,22,4500000,15,-3200000,Ligue1
Olympique Lyon,14/15,5650000,8,1500000,9,-4150000,Ligue1
AS Saint-?tienne,14/15,4000000,10,0,13,-4000000,Ligue1
Montpellier HSC,14/15,4000000,15,15900000,14,11900000,Ligue1
FC Metz,14/15,3600000,26,7650000,20,4050000,Ligue1
FC Toulouse,14/15,3000000,12,13700000,9,10700000,Ligue1
EA Guingamp,14/15,2560000,13,2500000,14,-60000,Ligue1
FC ?vian Thonon Gaillard,14/15,2250000,20,3000000,23,750000,Ligue1
OGC Nice,14/15,1300000,14,7400000,16,6100000,Ligue1
SM Caen,14/15,800000,16,0,15,-800000,Ligue1
FC Nantes,14/15,420000,12,0,11,-420000,Ligue1
SC Bastia,14/15,100000,29,2000000,25,1900000,Ligue1
RC Lens,14/15,0,7,3000000,11,3000000,Ligue1
Stade Reims,14/15,0,12,5500000,13,5500000,Ligue1
Paris Saint-Germain,15/16,116100000,13,22900000,11,-93200000,Ligue1
AS Monaco,15/16,101060000,42,175400000,33,74340000,Ligue1
Olympique Lyon,15/16,41100000,13,26800000,13,-14300000,Ligue1
AS Saint-?tienne,15/16,20300000,21,23200000,16,2900000,Ligue1
Olympique Marseille,15/16,19750000,30,54450000,25,34700000,Ligue1
